WEB ID;dose;weight
322;5;-1
323;70;-0,9
324;100;-1,2
325;10;-1,1
326;5;-0,9
327;200;-1,9
328;0.7;-0,9
329;2;-0,9
330;5;2.1
331;50;-0,1
332;1;-2,2
333;50;-0,7
334;20;0.8
335;10;0.7
336;0.1;-1
337;1;0.3
338;40;-1,3
339;30;-3,8
340;10;-0,3
341;200;0.8
342;3;0
343;40;-2,3
344;0.005;-1,8
345;40;-1
346;0.1;1.2
347;100;1.2
348;2;-2,5
349;300;-1,8
350;4;1.6
351;30;-0,5
352;20;1.2
353;50;1.6
354;100;-0,6
355;1;-2,5
356;100;2.1
357;10;-2,9
358;0.1;-4,9
359;6;0
360;8;0.1
361;0.01;0.5
362;100;1.1
363;10;0.5
364;1;-1,1
365;1;-1,8
366;100;1.7
367;5;-2,4
368;50;-4,1
369;30;-0,5
370;10;-0,3
371;20;0.1
372;0.1;-0,7
373;100;-2,8
374;20;-2,5
375;100;-3,3
376;1;-1
377;0.05;-1,7
378;1;-1,7
379;10;-3
380;15;0.3
381;100;-0,3
382;3;0.5
383;50;-0,3
384;10;-0,2
385;300;-1,8
386;50;-0,9
387;15;-2,2
388;60;0.3
389;0.5;0.9
390;5;0.7
391;0.2;-1,8
392;0.3;0.1
393;1;1.8
394;5;0.4
395;60;0.8
396;0.5;1.4
397;20;0.1
398;1;3
399;70;-1,5
400;10;-2,1
401;0.5;1.8
402;20;0.8
403;4;-1,3
404;10;0.4
405;2;-0,6
406;100;-0,9
407;300;2.5
408;20;1.4
409;50;1.1
410;20;1.3
411;5;1
412;10;1.1
413;20;1.4
414;4;1.3
415;60;-0,9
416;20;-0,9
417;20;-1,6
418;10;-0,5
419;1;-0,5
420;10;0.9
421;20;-0,7
422;2;-0,5
423;2;1.3
424;20;-1,4
425;2;1.6
426;5;-0,6
427;10;-2,6
428;20;-0,3
429;20;0.9
430;5;-0,6
431;20;0.2
432;30;0.5
433;3;-0,2
434;10;-6,1
435;6;-0,3
436;2;-1,6
437;10;-0,6
438;50;-0,2
439;0.0001;-2,6
440;20;-0,1
441;50;-2,1
442;30;-1,9
443;3;-1,5
444;70;-1,6
445;15;0.8
446;20;0.4
447;0.5;-0,7
448;10;1.1
449;40;-1
450;20;0.2
451;20;0.2
452;0.3;-0,7
453;40;-0,3
454;20;-0,3
455;60;-0,7
456;20;0.7
457;30;0.6
458;1.5;1.2
459;50;2
460;100;-1,4
461;15;-0,9
