0,Mean LS,Mean LS extension,Max LS,Max LS extension,Onset of Mortality,Onset of Mortality extension,Num mice
973,909,2.67,1110,1.83,720,8.38,15
974,978,10.37,1199,9.97,702,5.77,15
975,839,-5.25,1022,-6.21,681,2.56,15
976,881,-0.57,1090,0.00,682,2.71,15
977,946,6.83,1217,11.65,796,19.88,15
978,902,1.83,1084,-0.52,721,8.53,15
979,861,-2.76,1063,-2.48,635,-4.37,15
980,897,1.27,1135,4.10,637,-4.12,15
981,869,-1.92,1084,-0.52,606,-8.79,15
982,897,1.31,1058,-2.97,696,4.82,15
983,877,-0.97,1098,0.76,597,-10.14,15
984,886,0.05,1078,-1.07,647,-2.51,15
985,848,-4.23,1024,-6.06,667,0.38,10
986,962,8.56,1199,10.00,674,1.46,15
987,942,6.31,1191,9.24,741,11.60,15
988,906,2.24,1102,1.07,699,5.22,15
989,841,-5.12,1016,-6.76,657,-1.00,15
990,888,0.27,1077,-1.16,695,4.62,15
991,961,8.50,1131,3.73,817,23.09,15
992,829,-6.40,1052,-3.52,621,-6.48,15
993,902,1.81,1154,5.90,692,4.27,15
994,842,-4.99,1059,-2.81,645,-2.81,15
995,962,8.65,1227,12.57,711,7.03,15
996,999,12.77,1272,16.67,785,18.17,15
997,845,-4.58,1036,-4.92,590,-11.14,15
998,794,-10.39,979,-10.15,439,-33.89,15
999,900,1.61,974,-10.61,764,15.06,15
1000,910,2.77,1132,3.82,751,13.10,15
1001,970,9.45,1165,6.85,731,10.14,15
1002,934,5.47,1137,4.31,754,13.60,15
1003,865,-2.37,1062,-2.57,697,4.97,15
1004,903,1.96,1148,5.29,746,12.40,15
1005,886,-0.02,1107,1.53,706,6.33,15
1006,940,6.11,1141,4.71,695,4.72,15
1007,921,3.94,1046,-4.07,809,21.79,15
1008,903,1.97,1096,0.58,695,4.62,15
1009,935,5.58,1240,13.73,662,-0.35,15
1010,827,-6.67,1009,-7.40,623,-6.22,15
1011,852,-3.81,1091,0.09,656,-1.15,15
1012,875,-1.27,1118,2.54,512,-22.84,15
1013,951,7.37,1170,7.37,749,12.75,15
1014,965,8.89,1206,10.61,814,22.64,15
1015,880,-0.62,1164,6.82,597,-10.04,15
1016,936,5.68,1155,5.93,732,10.24,15
1017,921,3.98,1092,0.21,737,11.04,15
1018,892,0.72,1139,4.46,611,-7.98,15
1019,878,-0.86,1068,-1.99,686,3.26,15
1020,854,-3.56,1078,-1.10,623,-6.17,15
1021,904,2.03,1052,-3.52,742,11.70,15
1022,909,2.60,1155,5.99,681,2.61,15
1023,893,0.84,1078,-1.10,639,-3.77,15
1024,877,-1.01,1019,-6.54,671,1.05,15
1025,895,1.06,1121,2.84,653,-1.71,15
1026,853,-3.67,1028,-5.66,665,0.20,15
1027,923,4.21,1132,3.85,777,16.97,15
1028,913,3.09,1208,10.80,662,-0.30,15
1029,871,-1.67,1056,-3.09,680,2.46,15
1030,960,8.32,1174,7.68,731,10.04,15
1031,906,2.33,1086,-0.37,747,12.45,15
1032,930,4.97,1187,8.90,722,8.79,15
1033,838,-5.38,1045,-4.16,639,-3.77,15
1034,854,-3.62,1080,-0.89,631,-5.02,15
1035,846,-4.50,1118,2.57,571,-13.96,15
1036,929,4.89,1161,6.51,682,2.76,15
1037,930,5.04,1119,2.63,762,14.76,15
1038,929,4.83,1151,5.57,677,1.91,15
1039,843,-4.86,1027,-5.81,588,-11.40,15
1040,865,-2.32,1059,-2.87,646,-2.71,15
1041,931,5.13,1251,14.74,626,-5.72,15
1042,868,-2.06,1146,5.14,529,-20.33,15
