0,Mean LS,Mean LS extension,Max LS,Max LS extension,Onset of Mortality,Onset of Mortality extension,Num mice
348,869,-1.86,1077,-1.22,600,-9.64,15
349,914,3.19,1107,1.53,664,0.05,15
350,915,3.31,1086,-0.37,717,7.93,15
351,803,-9.35,998,-8.47,546,-17.72,15
352,890,0.48,1095,0.49,671,1.00,15
353,926,4.58,1155,5.93,750,13.00,15
354,901,1.72,1025,-5.96,726,9.39,15
355,856,-3.42,1190,9.14,629,-5.22,15
356,917,3.52,1096,0.58,781,17.57,15
357,834,-5.83,1077,-1.16,440,-33.79,15
358,837,-5.52,1017,-6.74,653,-1.66,12
359,935,5.57,1149,5.44,645,-2.81,15
360,895,1.03,1098,0.76,632,-4.77,15
361,924,4.31,1110,1.87,651,-1.96,15
362,858,-3.11,1056,-3.12,687,3.41,15
363,904,2.09,1163,6.70,708,6.63,15
364,959,8.21,1022,-6.27,868,30.67,15
365,905,2.14,1170,7.31,720,8.38,15
366,881,-0.58,1129,3.55,693,4.32,15
367,879,-0.81,1077,-1.19,650,-2.06,15
368,996,12.49,1318,20.92,721,8.53,15
369,952,7.48,1132,3.85,827,24.60,15
370,945,6.65,1147,5.26,697,5.02,15
371,933,5.32,1103,1.22,749,12.80,15
372,934,5.39,1183,8.53,751,13.15,15
373,928,4.79,1047,-3.98,782,17.82,15
374,879,-0.78,1017,-6.67,765,15.16,15
375,835,-5.73,1082,-0.73,610,-8.13,15
376,979,10.52,1213,11.25,665,0.10,15
377,950,7.26,1140,4.59,698,5.07,15
378,931,5.15,1213,11.25,704,5.97,15
379,821,-7.28,971,-10.95,566,-14.71,15
380,910,2.78,1022,-6.24,685,3.11,15
381,929,4.82,1071,-1.71,778,17.17,15
382,851,-3.99,1121,2.87,609,-8.28,15
383,924,4.32,1079,-0.98,749,12.75,15
384,905,2.12,1058,-2.97,759,14.31,15
385,885,-0.11,1082,-0.70,552,-16.87,15
386,921,3.95,1079,-1.01,741,11.65,15
387,917,3.52,1162,6.57,632,-4.87,15
388,829,-6.39,1046,-4.01,514,-22.54,15
389,874,-1.31,972,-10.80,767,15.51,15
390,928,4.80,1187,8.87,622,-6.33,15
391,908,2.45,1113,2.11,776,16.87,15
392,902,1.77,1077,-1.19,717,7.98,15
393,957,7.99,1161,6.54,765,15.21,15
394,909,2.67,1083,-0.64,692,4.27,15
395,977,10.31,1190,9.14,772,16.32,15
396,835,-5.74,1071,-1.77,554,-16.62,15
397,841,-5.03,1072,-1.68,528,-20.43,15
398,936,5.62,1122,2.97,751,13.05,15
399,852,-3.78,994,-8.78,738,11.09,15
400,929,4.91,1099,0.86,744,12.10,15
401,917,3.54,1145,5.08,706,6.28,15
402,974,10.00,1143,4.89,756,13.86,15
403,918,3.66,1124,3.12,676,1.76,15
404,839,-5.26,1144,4.92,563,-15.16,15
405,914,3.19,1034,-5.17,730,9.99,15
406,929,4.89,1126,3.27,768,15.61,15
407,911,2.89,1129,3.55,669,0.75,15
408,925,4.39,1153,5.78,704,5.97,15
409,928,4.73,1090,0.00,769,15.86,15
410,863,-2.57,994,-8.78,652,-1.81,15
411,917,3.57,1129,3.58,678,2.11,15
412,941,6.26,1017,-6.73,857,29.12,15
413,961,8.50,1117,2.45,836,25.95,15
414,889,0.35,1080,-0.89,743,11.85,15
415,925,4.39,1137,4.28,737,10.94,15
416,932,5.16,1172,7.55,793,19.38,15
417,984,11.03,1151,5.63,735,10.64,15
418,892,0.69,1152,5.72,660,-0.55,15
419,824,-7.00,1065,-2.32,464,-30.17,15
420,937,5.77,1163,6.73,781,17.57,15
421,874,-1.35,1055,-3.18,652,-1.86,15
422,887,0.13,1103,1.22,716,7.88,15
423,923,4.17,1200,10.06,692,4.22,15
424,862,-2.72,1033,-5.23,644,-2.96,15
425,879,-0.74,1036,-4.92,647,-2.56,15
426,877,-1.04,1069,-1.90,689,3.77,15
427,891,0.61,1089,-0.12,596,-10.19,15
428,932,5.20,1135,4.13,731,10.09,15
429,873,-1.49,1160,6.45,581,-12.45,15
430,920,3.81,1118,2.60,791,19.18,15
431,950,7.21,1163,6.70,772,16.32,15
432,898,1.32,1090,-0.03,685,3.21,15
433,921,4.02,1030,-5.54,750,13.00,15
434,848,-4.23,1029,-5.57,656,-1.26,15
435,974,10.00,1248,14.46,718,8.13,15
436,878,-0.89,1073,-1.56,724,9.04,15
437,882,-0.42,1062,-2.57,721,8.58,15
438,935,5.60,1079,-1.01,823,23.90,15
439,875,-1.22,1074,-1.47,658,-0.90,15
440,887,0.11,1117,2.51,605,-8.84,15
441,941,6.26,1243,14.01,698,5.12,15
442,1028,16.10,1234,13.18,827,24.60,15
443,868,-2.06,1056,-3.12,643,-3.16,15
444,840,-5.17,1013,-7.06,706,6.33,15
445,834,-5.81,1018,-6.61,658,-0.90,15
446,821,-7.31,1045,-4.10,656,-1.15,15
447,887,0.15,1056,-3.09,710,6.98,15
448,896,1.16,1051,-3.58,662,-0.35,15
449,902,1.77,1106,1.47,658,-0.95,15
450,969,9.34,1176,7.89,805,21.23,15
451,888,0.30,1132,3.82,732,10.29,15
452,899,1.48,1099,0.83,723,8.89,15
453,841,-5.03,1022,-6.27,674,1.56,15
454,892,0.66,1085,-0.43,703,5.92,15
455,888,0.30,1177,7.95,572,-13.91,15
456,890,0.51,1071,-1.77,586,-11.75,15
457,899,1.51,1073,-1.56,748,12.70,15
458,979,10.52,1231,12.97,732,10.19,15
459,866,-2.19,1057,-3.03,695,4.72,15
460,873,-1.44,1201,10.15,599,-9.84,15
461,961,8.51,1204,10.46,720,8.38,15
462,942,6.31,1034,-5.14,813,22.39,15
463,870,-1.74,1138,4.40,624,-5.97,15
464,896,1.15,1178,8.10,700,5.37,15
465,935,5.50,1162,6.57,757,14.06,15
466,821,-7.34,1029,-5.60,486,-26.86,15
467,991,11.91,1228,12.69,744,12.05,15
468,860,-2.88,1045,-4.16,641,-3.51,15
469,905,2.18,1093,0.24,652,-1.81,15
470,900,1.64,1026,-5.90,746,12.40,15
471,878,-0.91,1029,-5.60,642,-3.26,15
472,1015,14.63,1273,16.82,768,15.61,15
473,881,-0.49,1060,-2.72,657,-1.10,15
474,872,-1.56,1090,-0.03,665,0.10,15
475,905,2.11,1216,11.53,599,-9.74,15
476,784,-11.44,931,-14.56,586,-11.70,15
477,912,2.94,1131,3.76,747,12.45,15
478,948,7.05,1145,5.02,716,7.78,15
479,916,3.36,1261,15.66,659,-0.70,15
480,1007,13.65,1251,14.80,716,7.83,15
481,863,-2.56,1049,-3.76,709,6.73,15
482,938,5.89,1053,-3.39,767,15.56,15
483,969,9.40,1144,4.92,811,22.14,15
484,886,-0.01,1065,-2.32,687,3.51,15
485,876,-1.14,1124,3.09,628,-5.47,15
486,914,3.22,1170,7.31,619,-6.78,15
487,840,-5.21,1032,-5.35,489,-26.41,15
488,933,5.37,1186,8.81,705,6.22,15
489,910,2.75,1146,5.14,699,5.22,15
490,883,-0.34,1102,1.13,701,5.62,15
491,902,1.78,1156,6.02,645,-2.81,15
492,879,-0.77,1053,-3.36,781,17.57,15
493,935,5.59,1099,0.83,798,20.13,15
494,878,-0.86,1086,-0.40,688,3.61,15
495,975,10.07,1265,16.09,739,11.35,15
496,949,7.15,1173,7.65,756,13.91,15
497,918,3.63,1117,2.48,739,11.35,15
498,699,-21.12,779,-28.53,610,-8.08,15
499,778,-12.14,947,-13.15,554,-16.52,15
500,897,1.21,1141,4.71,702,5.77,15
501,853,-3.69,1114,2.20,652,-1.86,15
502,822,-7.20,1026,-5.90,604,-9.09,15
503,864,-2.52,1097,0.64,489,-26.31,15
504,948,7.01,1134,4.01,722,8.68,15
505,852,-3.81,999,-8.35,654,-1.56,15
506,908,2.54,1133,3.94,653,-1.66,15
507,915,3.29,1144,4.98,766,15.41,15
508,879,-0.74,1096,0.52,626,-5.77,15
509,900,1.54,1165,6.88,704,5.97,15
510,913,3.10,1177,7.98,743,11.90,15
511,952,7.52,1149,5.38,736,10.84,15
512,928,4.77,1112,2.05,785,18.22,15
513,904,2.10,1153,5.75,628,-5.47,15
514,954,7.67,1172,7.49,757,14.06,15
515,917,3.56,1169,7.22,702,5.67,15
516,915,3.28,1029,-5.60,742,11.75,15
517,898,1.40,1153,5.78,724,9.09,15
518,870,-1.74,1157,6.15,558,-15.96,15
519,892,0.69,1000,-8.26,773,16.37,15
520,911,2.84,1165,6.91,764,15.06,15
521,802,-9.45,1023,-6.12,640,-3.66,15
522,856,-3.35,1052,-3.52,648,-2.36,15
523,896,1.11,1021,-6.33,749,12.80,15
524,910,2.76,1218,11.77,755,13.76,15
525,910,2.76,1122,2.91,526,-20.78,15
526,872,-1.52,1077,-1.16,644,-2.96,15
527,889,0.38,1129,3.61,550,-17.12,15
528,883,-0.31,1106,1.44,568,-14.51,15
529,908,2.51,1119,2.66,667,0.50,15
530,865,-2.31,1112,2.02,584,-12.00,15
531,982,10.87,1141,4.71,719,8.23,15
532,946,6.83,1237,13.52,734,10.49,15
533,937,5.77,1255,15.17,676,1.86,15
534,873,-1.41,1120,2.75,604,-9.04,15
535,987,11.46,1187,8.93,753,13.40,15
536,961,8.46,1238,13.61,609,-8.23,15
537,880,-0.68,1074,-1.50,689,3.77,15
538,917,3.56,1114,2.20,737,10.99,15
539,851,-3.99,1077,-1.16,657,-1.05,15
540,910,2.73,1092,0.18,697,4.92,15
541,960,8.37,1140,4.59,695,4.67,15
542,900,1.56,1147,5.23,727,9.44,15
543,929,4.83,1110,1.87,742,11.80,15
544,835,-5.73,993,-8.87,745,12.15,15
545,895,1.00,1104,1.28,647,-2.61,15
546,920,3.84,1184,8.59,634,-4.52,15
547,814,-8.16,1060,-2.72,534,-19.58,15
548,773,-12.78,962,-11.77,550,-17.22,15
549,881,-0.60,1159,6.36,604,-8.99,15
550,852,-3.84,1022,-6.21,659,-0.80,15
552,901,1.73,1097,0.67,774,16.52,15
553,922,4.13,1085,-0.43,750,12.95,15
554,906,2.26,1049,-3.73,638,-3.92,15
555,912,2.91,1197,9.79,716,7.83,15
556,927,4.61,1209,10.95,712,7.28,15
557,917,3.47,1137,4.34,759,14.26,15
558,842,-4.92,1054,-3.30,493,-25.80,15
559,878,-0.86,1069,-1.93,716,7.78,15
560,879,-0.82,1043,-4.28,670,0.85,15
561,903,1.89,1118,2.57,710,6.93,15
562,887,0.10,1119,2.63,621,-6.43,15
563,846,-4.54,1073,-1.59,605,-8.94,15
564,865,-2.38,1023,-6.18,652,-1.86,15
565,881,-0.59,1159,6.36,659,-0.75,15
566,873,-1.41,1096,0.52,685,3.21,15
567,896,1.11,1190,9.14,547,-17.62,15
568,899,1.51,1104,1.28,690,3.92,15
569,949,7.08,1076,-1.25,806,21.34,15
570,841,-5.02,1037,-4.83,578,-12.95,15
571,740,-16.52,940,-13.79,384,-42.12,15
572,950,7.23,1184,8.59,751,13.15,15
573,960,8.33,1142,4.74,697,4.97,15
574,893,0.82,1068,-2.05,706,6.38,15
575,865,-2.36,1158,6.27,525,-20.88,15
576,769,-13.15,1032,-5.35,568,-14.46,15
577,892,0.71,1103,1.22,535,-19.43,15
578,914,3.18,1148,5.32,639,-3.82,15
579,889,0.33,1117,2.45,633,-4.72,15
580,936,5.69,1124,3.12,784,18.12,15
581,846,-4.55,978,-10.31,708,6.63,15
582,924,4.33,1074,-1.50,783,17.97,15
583,987,11.39,1199,9.97,706,6.33,15
584,897,1.26,1073,-1.53,687,3.41,15
585,905,2.21,1055,-3.24,770,15.96,15
586,891,0.61,1110,1.83,597,-10.14,15
587,887,0.12,1146,5.14,646,-2.71,15
588,1027,15.97,1283,17.68,795,19.68,15
589,959,8.25,1178,8.10,665,0.15,15
590,951,7.41,1192,9.33,744,12.00,15
591,924,4.27,1145,5.05,617,-7.13,15
592,883,-0.28,1038,-4.74,715,7.73,15
593,901,1.73,1070,-1.80,715,7.68,15
594,859,-3.06,1063,-2.48,563,-15.16,15
595,893,0.85,1073,-1.53,672,1.15,15
596,874,-1.33,1075,-1.35,648,-2.41,15
597,861,-2.81,1091,0.12,655,-1.36,15
598,910,2.73,1092,0.15,681,2.51,15
599,839,-5.28,1009,-7.43,635,-4.42,15
600,930,5.04,1154,5.84,660,-0.55,15
601,868,-1.99,1034,-5.14,684,3.01,15
602,918,3.62,1114,2.17,635,-4.37,15
603,907,2.34,1128,3.49,666,0.25,15
604,870,-1.80,1011,-7.25,703,5.82,15
605,951,7.41,1134,4.04,785,18.17,13
606,894,0.93,1060,-2.75,698,5.07,15
607,871,-1.72,1128,3.52,571,-14.06,15
608,970,9.48,1165,6.83,845,27.26,10
609,847,-4.39,1026,-5.90,686,3.26,15
610,974,9.97,1136,4.25,808,21.74,15
611,907,2.37,1134,4.07,699,5.27,15
612,921,3.98,1209,10.92,670,0.85,15
613,910,2.71,1113,2.14,729,9.79,15
614,891,0.55,1023,-6.12,765,15.16,15
615,941,6.28,1189,9.05,767,15.56,15
616,896,1.18,1097,0.64,661,-0.40,15
617,843,-4.81,1086,-0.34,598,-9.99,15
618,891,0.61,1156,6.06,712,7.23,15
619,920,3.83,1171,7.43,693,4.32,15
620,924,4.35,1155,5.99,715,7.68,15
621,884,-0.24,988,-9.33,761,14.66,15
622,826,-6.75,957,-12.20,641,-3.51,15
623,957,8.07,1200,10.06,758,14.21,15
624,881,-0.57,1104,1.28,715,7.68,15
625,909,2.66,1122,2.97,703,5.92,15
626,902,1.82,1109,1.77,717,7.98,15
627,884,-0.23,1069,-1.96,699,5.32,15
628,927,4.63,1169,7.22,703,5.82,15
629,831,-6.20,1057,-3.06,595,-10.34,15
630,942,6.38,1171,7.43,719,8.23,15
631,848,-4.28,1065,-2.29,654,-1.56,15
632,886,0.05,1073,-1.59,693,4.42,15
633,930,4.94,1167,7.09,726,9.39,15
634,810,-8.61,995,-8.72,577,-13.15,15
635,999,12.77,1252,14.83,818,23.14,15
637,966,9.03,1185,8.75,688,3.56,15
638,963,8.72,1171,7.46,762,14.76,15
639,848,-4.29,1143,4.86,463,-30.32,15
640,858,-3.16,1099,0.86,701,5.62,15
641,969,9.34,1232,13.03,694,4.52,15
642,936,5.69,1148,5.35,726,9.29,15
643,898,1.33,1165,6.91,590,-11.09,15
644,908,2.49,1127,3.39,729,9.79,15
645,901,1.72,1203,10.37,683,2.91,15
646,902,1.84,1177,7.98,675,1.71,15
647,946,6.84,1232,13.00,610,-8.08,15
648,889,0.32,999,-8.35,771,16.06,15
649,984,11.03,1198,9.91,820,23.54,15
650,844,-4.76,1108,1.68,594,-10.49,15
651,794,-10.32,1108,1.62,397,-40.21,15
652,893,0.81,1092,0.18,684,3.06,15
653,970,9.48,1199,10.00,812,22.29,15
654,824,-6.96,982,-9.94,527,-20.63,15
655,838,-5.42,1070,-1.83,541,-18.47,15
657,906,2.28,1134,4.01,736,10.89,15
658,917,3.57,1108,1.68,776,16.82,15
659,850,-4.10,1128,3.49,469,-29.32,15
660,922,4.13,1192,9.33,754,13.50,15
661,907,2.38,1162,6.64,657,-1.05,15
662,867,-2.07,1097,0.64,544,-18.02,15
663,896,1.12,1080,-0.92,683,2.86,15
664,827,-6.67,1056,-3.12,483,-27.26,15
665,882,-0.43,1047,-3.94,686,3.31,15
666,941,6.23,1165,6.85,681,2.56,15
667,848,-4.24,995,-8.75,639,-3.77,15
668,985,11.23,1234,13.24,728,9.59,15
670,904,2.04,1132,3.85,628,-5.42,15
671,952,7.46,1192,9.39,737,10.99,15
672,894,0.88,1174,7.71,708,6.58,15
673,884,-0.19,1066,-2.23,646,-2.71,15
674,999,12.73,1249,14.62,812,22.29,15
675,873,-1.42,1091,0.12,678,2.11,15
676,838,-5.44,1027,-5.78,641,-3.41,15
677,931,5.12,1123,3.03,737,10.99,15
678,951,7.38,1155,5.99,768,15.66,15
679,859,-3.02,1094,0.34,712,7.18,15
680,915,3.32,1120,2.75,764,15.06,15
681,882,-0.44,1064,-2.39,772,16.21,15
682,903,1.91,1121,2.81,645,-2.81,15
683,855,-3.50,1037,-4.89,635,-4.42,15
684,881,-0.58,1044,-4.19,645,-2.86,15
685,892,0.71,1178,8.10,632,-4.87,15
686,938,5.89,1111,1.93,714,7.48,15
687,864,-2.46,1094,0.37,560,-15.66,15
688,914,3.14,1077,-1.16,696,4.77,15
689,895,1.09,1054,-3.33,747,12.45,15
690,885,-0.10,1036,-4.95,731,10.14,15
691,881,-0.58,1169,7.22,667,0.40,15
692,882,-0.43,1048,-3.82,686,3.31,15
693,872,-1.58,1088,-0.21,647,-2.56,15
694,961,8.53,1190,9.14,834,25.55,15
695,855,-3.44,1052,-3.49,597,-10.14,15
696,881,-0.55,1050,-3.70,711,7.13,15
697,898,1.38,1217,11.62,688,3.56,15
698,896,1.17,1143,4.89,526,-20.78,15
699,900,1.57,1119,2.63,725,9.19,15
700,942,6.39,1185,8.75,649,-2.31,15
701,827,-6.63,1175,7.77,468,-29.47,15
702,978,10.40,1135,4.13,775,16.67,15
703,945,6.70,1132,3.88,724,9.04,15
704,876,-1.09,1079,-0.98,630,-5.07,15
705,842,-4.93,1010,-7.34,649,-2.31,15
706,894,0.88,1139,4.46,653,-1.61,15
707,861,-2.82,1142,4.77,426,-35.92,10
708,871,-1.68,1072,-1.65,616,-7.28,15
709,913,3.07,1155,5.99,708,6.58,15
710,989,11.61,1180,8.29,800,20.53,15
711,806,-8.97,1008,-7.52,471,-29.07,15
712,924,4.36,1024,-6.06,786,18.37,15
713,913,3.11,1106,1.47,696,4.87,15
714,806,-9.05,1036,-4.95,501,-24.60,15
715,863,-2.56,1010,-7.37,713,7.38,15
716,838,-5.44,1089,-0.12,576,-13.25,15
717,877,-1.01,1039,-4.71,638,-3.92,15
718,920,3.83,1177,7.98,686,3.36,15
719,938,5.94,1171,7.40,703,5.92,15
720,884,-0.20,1088,-0.15,578,-13.00,15
721,912,3.00,1171,7.43,727,9.49,15
722,857,-3.26,1009,-7.40,684,3.06,15
723,967,9.13,1138,4.37,758,14.21,15
724,894,0.95,1073,-1.53,665,0.20,15
725,861,-2.83,1047,-3.91,674,1.46,15
726,893,0.77,1075,-1.38,667,0.40,15
727,903,1.92,1143,4.83,652,-1.86,15
728,901,1.68,1100,0.92,751,13.05,15
729,908,2.46,1098,0.76,697,4.97,15
730,859,-3.05,1081,-0.80,644,-3.06,15
731,932,5.21,1164,6.79,745,12.25,15
732,897,1.31,1118,2.57,683,2.91,15
733,906,2.32,1082,-0.73,737,10.94,15
734,849,-4.20,1057,-3.06,607,-8.63,15
735,872,-1.58,1048,-3.85,673,1.41,15
736,933,5.28,1148,5.29,709,6.83,15
737,956,7.88,1246,14.28,689,3.71,15
738,895,1.07,1035,-5.05,661,-0.50,15
739,976,10.18,1182,8.41,765,15.26,15
740,854,-3.61,1119,2.66,650,-2.06,15
741,865,-2.33,1095,0.49,615,-7.33,15
742,813,-8.25,1001,-8.17,642,-3.26,15
743,923,4.24,1037,-4.89,762,14.76,15
744,905,2.12,1106,1.44,731,10.09,15
745,920,3.87,1105,1.35,778,17.17,15
746,930,4.96,1069,-1.93,721,8.58,15
747,888,0.23,1078,-1.13,654,-1.46,15
748,882,-0.45,1056,-3.09,693,4.32,15
749,908,2.52,1185,8.69,587,-11.55,15
750,984,11.10,1244,14.13,740,11.50,15
751,1031,16.42,1188,9.02,929,39.86,15
753,1007,13.67,1200,10.12,779,17.27,15
754,946,6.81,1139,4.50,702,5.67,15
755,860,-2.89,1118,2.60,567,-14.61,15
756,864,-2.49,1062,-2.57,618,-6.93,15
757,835,-5.72,1099,0.86,589,-11.35,15
758,706,-20.30,882,-19.08,434,-34.59,15
759,910,2.78,1077,-1.16,663,-0.10,15
760,923,4.22,1137,4.28,671,1.05,15
761,927,4.65,1172,7.55,723,8.94,15
762,927,4.64,1231,12.94,603,-9.19,15
763,964,8.81,1076,-1.25,831,25.15,15
764,959,8.29,1068,-1.99,861,29.72,15
765,864,-2.42,1050,-3.64,690,3.97,15
766,895,1.06,1181,8.32,616,-7.18,15
767,910,2.73,1118,2.54,696,4.87,15
768,884,-0.21,1068,-2.02,693,4.32,15
769,903,1.90,1104,1.25,612,-7.78,15
770,829,-6.42,1072,-1.65,467,-29.62,15
771,952,7.51,1191,9.30,696,4.87,15
772,870,-1.83,1093,0.24,635,-4.42,15
773,884,-0.19,1020,-6.45,718,8.13,15
774,878,-0.83,1141,4.65,719,8.33,15
775,913,3.07,1134,4.01,662,-0.30,15
776,917,3.52,1119,2.66,678,2.16,15
777,853,-3.68,1053,-3.36,541,-18.52,15
778,931,5.10,1134,4.07,777,17.07,13
779,876,-1.07,1024,-6.09,704,5.97,15
780,942,6.31,1097,0.64,769,15.81,15
781,863,-2.63,988,-9.39,735,10.69,15
782,917,3.57,1096,0.55,719,8.28,15
783,910,2.67,1139,4.50,607,-8.53,15
784,764,-13.74,914,-16.18,638,-3.87,15
785,872,-1.59,1059,-2.81,688,3.66,15
786,855,-3.49,1016,-6.82,676,1.81,15
787,953,7.63,1160,6.42,659,-0.75,15
788,933,5.30,1152,5.72,723,8.94,15
789,871,-1.68,1078,-1.13,555,-16.42,15
790,862,-2.72,1048,-3.82,621,-6.53,15
791,950,7.29,1174,7.74,723,8.89,15
792,932,5.26,1140,4.59,733,10.34,15
793,856,-3.41,1157,6.18,477,-28.11,15
794,890,0.52,1053,-3.43,589,-11.24,15
795,937,5.73,1203,10.40,647,-2.56,15
796,917,3.51,1142,4.77,781,17.67,15
797,898,1.37,1189,9.11,665,0.15,15
798,923,4.22,1087,-0.28,667,0.45,15
799,851,-3.94,1104,1.28,599,-9.84,15
800,889,0.39,1099,0.80,665,0.15,15
801,910,2.76,1214,11.35,645,-2.91,15
802,893,0.76,1082,-0.70,782,17.77,15
803,798,-9.95,1069,-1.90,470,-29.22,15
804,936,5.68,1245,14.22,681,2.56,15
805,879,-0.79,1140,4.59,624,-6.07,15
806,878,-0.86,1099,0.86,600,-9.64,15
807,853,-3.67,1100,0.89,647,-2.51,15
808,880,-0.62,1111,1.88,734,10.54,11
809,902,1.78,1166,7.00,600,-9.69,15
810,914,3.22,1179,8.13,648,-2.36,15
811,842,-4.94,1071,-1.74,579,-12.75,15
812,908,2.48,1107,1.59,721,8.53,15
813,980,10.68,1164,6.76,749,12.80,15
814,1005,13.40,1262,15.78,791,19.13,15
815,794,-10.35,1016,-6.76,550,-17.17,15
816,882,-0.40,1055,-3.18,722,8.73,15
817,913,3.09,1155,5.93,737,10.94,15
818,903,1.97,1129,3.58,673,1.31,15
819,956,7.96,1154,5.84,761,14.56,15
820,842,-4.96,1088,-0.15,652,-1.81,15
821,902,1.82,1198,9.91,598,-9.89,15
822,968,9.32,1142,4.80,834,25.55,15
823,911,2.85,1165,6.88,733,10.39,15
824,923,4.25,1106,1.47,777,17.07,15
825,956,7.93,1139,4.50,743,11.85,15
826,948,7.05,1159,6.30,746,12.40,15
827,867,-2.15,1108,1.65,626,-5.72,15
828,857,-3.22,1049,-3.73,600,-9.64,15
829,952,7.45,1251,14.80,652,-1.76,15
830,881,-0.58,965,-11.47,772,16.21,15
831,948,7.05,1182,8.41,751,13.15,15
832,799,-9.78,996,-8.65,632,-4.77,15
833,884,-0.24,1088,-0.21,682,2.66,15
834,957,8.02,1150,5.54,787,18.52,15
835,945,6.68,1205,10.52,725,9.19,15
836,890,0.52,1153,5.75,629,-5.27,15
837,897,1.27,1081,-0.80,697,4.97,15
838,894,0.92,1038,-4.80,704,6.02,15
839,895,0.99,1150,5.47,684,3.06,15
840,939,6.05,1170,7.37,732,10.29,15
841,896,1.15,1025,-5.99,731,10.04,15
842,887,0.14,1083,-0.64,708,6.68,15
